CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/30/24,11:05,BROOKLYN,11208,40.67818,-73.8707,"(40.67818, -73.8707)",LIBERTY AVE,CRESCENT ST,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4775297,Sedan,,,,
11/30/24,20:30,Missing,,,,,FDR DRIVE EXIT 7 SOUTHBOUND,E 25 STREET PEDESTRIAN OPAS,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inexperience,,,,4775599,Sedan,Sedan,,,
11/13/24,9:00,MANHATTAN,10019,40.770313,-73.9914,"(40.770313, -73.9914)",W 57 ST,11 AVE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4775704,Taxi,,,,
8/23/24,21:00,Missing,,40.784702,-73.824615,"(40.784702, -73.824615)",WHITESTONE EXPRESSWAY,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,4750666,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
8/16/24,11:40,Missing,,,,,WEST 24 STREET,,,2,0,0,0,0,0,2,0,View Obstructed/Limited,Oversized Vehicle,,,,4750710,Box Truck,Sedan,,,
8/24/24,13:30,Missing,,40.732243,-73.87013,"(40.732243, -73.87013)",LONG ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4750276,Sedan,Sedan,,,
8/15/24,18:52,Missing,,,,,MOSHOLU PARKWAY,BRONX BOTANICAL GARDENS,,0,0,0,0,0,0,0,0,Unspecified,,,,,4750858,Sedan,,,,
8/22/24,11:30,Missing,,40.774563,-73.94309,"(40.774563, -73.94309)",FDR DRIVE,,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,4750765,Station Wagon/Sport Utility Vehicle,,,,
8/24/24,16:47,Missing,,,,,EAST 66 STREET,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4750541,Pick-up Truck,,,,
7/29/24,10:50,Missing,,,,,ELDERTS LANE,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4743863,E-Scooter,Station Wagon/Sport Utility Vehicle,,,
